Origin Time UTC,Local Time,Mag,Type,Latitude,Longitude,Depth (km),Region Name,Status,Last Update
2016/04/18 12:14:03,2016/04/18 07:14:03,3.4,M,-0.05,-80.29,10,Near Coast of Ecuador,M,2016/04/18 12:35:01
2016/04/18 12:09:32,2016/04/18 07:09:32,4.2,M,-0.85,-80.91,5,Near Coast of Ecuador,M,2016/04/18 12:21:50
2016/04/18 11:56:38,2016/04/18 06:56:38,3.5,M,0.67,-80.24,10,Near Coast of Ecuador,M,2016/04/18 12:05:03
2016/04/18 11:38:38,2016/04/18 06:38:38,3.1,M,0.66,-80.15,4,Near Coast of Ecuador,M,2016/04/18 11:42:58
2016/04/18 11:30:47,2016/04/18 06:30:47,3.0,M,0.16,-79.93,15,Near Coast of Ecuador,M,2016/04/18 11:37:37
2016/04/18 11:11:18,2016/04/18 06:11:18,3.5,M,0.55,-80.06,5,Near Coast of Ecuador,M,2016/04/18 11:27:43
2016/04/18 10:32:14,2016/04/18 05:32:14,3.0,M,0.14,-79.31,21,Ecuador - Pichincha,M,2016/04/18 11:30:54
2016/04/18 10:29:08,2016/04/18 05:29:08,4.6,M,-0.05,-80.28,5,Near Coast of Ecuador,M,2016/04/18 11:03:01
2016/04/18 10:27:34,2016/04/18 05:27:34,4.5,M,0.32,-80.42,3,Near Coast of Ecuador,M,2016/04/18 11:34:37
2016/04/18 10:12:43,2016/04/18 05:12:43,3.7,M,-0.68,-80.83,10,Near Coast of Ecuador,M,2016/04/18 10:18:11
2016/04/18 09:57:32,2016/04/18 04:57:32,3.6,M,-1.81,-77.68,164,Ecuador - Pastaza,M,2016/04/18 10:05:51
2016/04/18 09:18:39,2016/04/18 04:18:39,3.1,M,-0.68,-81.06,4,Off Coast of Ecuador,M,2016/04/18 09:48:41
2016/04/18 09:13:35,2016/04/18 04:13:35,4.4,M,0.63,-80.16,3,Near Coast of Ecuador,M,2016/04/18 09:20:25
2016/04/18 08:55:54,2016/04/18 03:55:54,3.8,M,0.65,-80.14,3,Near Coast of Ecuador,M,2016/04/18 09:15:04
2016/04/18 08:31:13,2016/04/18 03:31:13,3.8,M,-1.30,-80.72,10,Near Coast of Ecuador,A,2016/04/18 08:34:08
2016/04/18 08:15:18,2016/04/18 03:15:18,3.7,M,0.46,-79.93,6,Near Coast of Ecuador,M,2016/04/18 09:39:49
2016/04/18 08:05:38,2016/04/18 03:05:38,4.8,M,-0.34,-80.97,17,Near Coast of Ecuador,M,2016/04/18 09:35:46
