Origin Time UTC,Local Time,Mag,Type,Latitude,Longitude,Depth (km),Region Name,Status,Last Update
2016/04/17 04:45:40,2016/04/16 23:45:40,3.6,M,0.61,-79.78,6,Near Coast of Ecuador,M,2016/04/17 05:01:50
2016/04/17 04:35:08,2016/04/16 23:35:08,3.7,M,-0.50,-80.26,7,Near Coast of Ecuador,M,2016/04/17 04:54:32
2016/04/17 04:30:45,2016/04/16 23:30:45,4.0,M,-0.07,-80.24,6,Near Coast of Ecuador,M,2016/04/17 04:53:11
2016/04/17 04:25:36,2016/04/16 23:25:36,4.2,M,-0.45,-80.26,8,Near Coast of Ecuador,M,2016/04/17 04:42:32
2016/04/17 04:02:06,2016/04/16 23:02:06,3.7,M,-0.08,-80.80,4,Near Coast of Ecuador,M,2016/04/17 04:09:39
2016/04/17 03:56:11,2016/04/16 22:56:11,3.4,M,-0.35,-80.23,13,Near Coast of Ecuador,M,2016/04/17 04:00:11
2016/04/17 03:38:41,2016/04/16 22:38:41,3.5,M,-0.44,-80.25,11,Near Coast of Ecuador,M,2016/04/17 03:48:20
2016/04/17 03:30:00,2016/04/16 22:30:00,3.6,M,-0.25,-80.53,9,Near Coast of Ecuador,M,2016/04/17 03:34:10
2016/04/17 03:23:32,2016/04/16 22:23:32,3.5,M,0.47,-80.59,4,Near Coast of Ecuador,M,2016/04/17 03:33:29
2016/04/17 03:16:13,2016/04/16 22:16:13,4.0,M,0.45,-80.45,10,Near Coast of Ecuador,M,2016/04/17 03:23:22
2016/04/17 03:09:35,2016/04/16 22:09:35,4.3,M,-0.03,-80.28,7,Near Coast of Ecuador,M,2016/04/17 03:13:41
2016/04/17 03:05:34,2016/04/16 22:05:34,5.1,M,0.34,-80.26,3,Near Coast of Ecuador,M,2016/04/17 03:13:14
2016/04/17 03:02:01,2016/04/16 22:02:01,3.0,M,-0.52,-78.72,15,Ecuador - Pichincha,M,2016/04/17 03:10:32
2016/04/17 02:59:58,2016/04/16 21:59:58,3.1,M,-0.53,-78.72,16,Ecuador - Pichincha,M,2016/04/17 03:10:01
2016/04/17 02:48:34,2016/04/16 21:48:34,4.3,M,-0.11,-80.96,10,Near Coast of Ecuador,M,2016/04/17 03:09:05
2016/04/17 02:45:04,2016/04/16 21:45:04,4.2,M,-0.16,-80.67,19,Near Coast of Ecuador,M,2016/04/17 03:03:20
2016/04/17 02:40:32,2016/04/16 21:40:32,4.3,M,-1.67,-80.60,10,Ecuador - Manabi,M,2016/04/17 03:01:18
2016/04/17 02:29:01,2016/04/16 21:29:01,3.6,M,0.38,-79.87,8,Near Coast of Ecuador,M,2016/04/17 02:37:58
2016/04/17 02:25:41,2016/04/16 21:25:41,3.6,M,0.39,-84.42,10,Off Coast of Ecuador,A,2016/04/17 02:29:51
2016/04/17 02:23:34,2016/04/16 21:23:34,4.1,M,-0.02,-80.25,10,Near Coast of Ecuador,M,2016/04/17 13:27:09
2016/04/17 02:23:08,2016/04/16 21:23:08,4.2,M,0.25,-80.04,9,Near Coast of Ecuador,M,2016/04/17 02:59:45
2016/04/17 02:18:01,2016/04/16 21:18:01,5.2,M,-0.13,-80.44,9,Near Coast of Ecuador,M,2016/04/17 02:22:41
2016/04/17 02:14:24,2016/04/16 21:14:24,4.3,M,-0.29,-80.48,8,Near Coast of Ecuador,M,2016/04/17 02:28:21
2016/04/17 02:14:01,2016/04/16 21:14:01,4.3,M,-0.02,-80.27,10,Near Coast of Ecuador,M,2016/04/17 02:55:23
2016/04/17 02:11:30,2016/04/16 21:11:30,3.7,M,0.08,-79.58,10,Ecuador - Esmeraldas,M,2016/04/17 02:56:53
2016/04/17 02:10:54,2016/04/16 21:10:54,5.4,M,-3.18,-93.53,-,Galapagos Islands Region,M,2016/04/17 02:52:27
2016/04/17 02:07:52,2016/04/16 21:07:52,4.2,M,-0.22,-80.90,5,Near Coast of Ecuador,M,2016/04/17 02:58:35
2016/04/17 02:00:38,2016/04/16 21:00:38,4.4,M,0.29,-80.24,3,Near Coast of Ecuador,M,2016/04/17 02:08:06
2016/04/17 01:49:56,2016/04/16 20:49:56,4.3,M,-0.15,-80.37,9,Near Coast of Ecuador,M,2016/04/17 02:11:53
2016/04/17 01:48:21,2016/04/16 20:48:21,4.3,M,0.12,-80.12,26,Near Coast of Ecuador,M,2016/04/17 02:12:23
2016/04/17 01:47:24,2016/04/16 20:47:24,3.1,M,-1.17,-78.41,4,Ecuador - Tungurahua,M,2016/04/17 02:14:50
2016/04/17 01:44:04,2016/04/16 20:44:04,4.3,M,-0.03,-80.20,4,Near Coast of Ecuador,M,2016/04/17 02:15:11
2016/04/17 01:34:48,2016/04/16 20:34:48,4.3,M,0.08,-80.09,6,Near Coast of Ecuador,M,2016/04/17 02:40:18
2016/04/17 01:34:46,2016/04/16 20:34:46,4.4,M,0.13,-80.25,5,Near Coast of Ecuador,M,2016/04/17 02:22:20
2016/04/17 01:32:32,2016/04/16 20:32:32,4.0,M,-0.27,-80.56,10,Near Coast of Ecuador,M,2016/04/17 02:38:18
2016/04/17 01:25:51,2016/04/16 20:25:51,4.3,M,0.23,-80.09,7,Near Coast of Ecuador,M,2016/04/17 02:37:38
2016/04/17 01:19:06,2016/04/16 20:19:06,4.8,M,-0.13,-80.06,0,Near Coast of Ecuador,M,2016/04/17 01:52:05
2016/04/17 01:15:42,2016/04/16 20:15:42,4.7,M,-0.56,-80.82,5,Near Coast of Ecuador,M,2016/04/17 01:45:34
2016/04/17 01:09:17,2016/04/16 20:09:17,4.8,M,-0.05,-80.18,10,Near Coast of Ecuador,M,2016/04/17 02:27:41
2016/04/17 01:04:04,2016/04/16 20:04:04,4.5,M,-0.14,-80.36,10,Near Coast of Ecuador,M,2016/04/17 02:23:08
2016/04/17 00:59:06,2016/04/16 19:59:06,5.0,M,0.37,-80.30,10,Near Coast of Ecuador,M,2016/04/17 02:22:48
2016/04/17 00:57:10,2016/04/16 19:57:10,4.7,M,-0.05,-80.20,10,Near Coast of Ecuador,M,2016/04/17 01:14:35
2016/04/17 00:54:47,2016/04/16 19:54:47,4.6,M,0.39,-80.27,-,Near Coast of Ecuador,M,2016/04/17 01:59:05
2016/04/17 00:49:15,2016/04/16 19:49:15,4.5,M,0.03,-80.33,10,Near Coast of Ecuador,M,2016/04/17 00:55:30
2016/04/17 00:43:50,2016/04/16 19:43:50,4.7,M,-0.22,-80.40,10,Near Coast of Ecuador,A,2016/04/17 00:54:39
2016/04/17 00:29:33,2016/04/16 19:29:33,5.6,M,-0.22,-80.41,10,Near Coast of Ecuador,M,2016/04/17 00:52:17
2016/04/17 00:16:41,2016/04/16 19:16:41,4.6,M,-0.46,-79.38,10,Ecuador - Santo Domingo,A,2016/04/17 00:20:10
2016/04/17 00:16:00,2016/04/16 19:16:00,3.7,M,0.22,-80.19,10,Near Coast of Ecuador,M,2016/04/17 00:25:50
2016/04/17 00:12:03,2016/04/16 19:12:03,5.3,M,-0.09,-79.91,10,Ecuador - Manabi,M,2016/04/17 00:18:59
2016/04/16 23:58:34,2016/04/16 18:58:34,7.3,M,0.40,-80.17,20,Near Coast of Ecuador,M,2016/04/17 02:05:05
2016/04/16 23:47:41,2016/04/16 18:47:41,5.0,M,0.32,-80.08,5,Near Coast of Ecuador,M,2016/04/16 23:54:02
2016/04/16 17:25:48,2016/04/16 12:25:48,3.3,M,-0.12,-77.59,5,Ecuador - Napo,M,2016/04/16 17:41:52
2016/04/16 15:36:26,2016/04/16 10:36:26,3.6,M,0.04,-78.00,10,Ecuador - Pichincha,A,2016/04/16 16:33:10
2016/04/15 15:03:29,2016/04/15 10:03:29,3.6,M,-0.88,-80.61,9,Near Coast of Ecuador,M,2016/04/15 15:28:13
2016/04/14 23:24:01,2016/04/14 18:24:01,3.8,M,-2.18,-77.51,154,Ecuador - Morona Santiago,M,2016/04/14 23:30:01
